<sil>	SIL	sil
スラー	スラー	s u r a long
見切っ	ミキッ	m i k i q
ロング	ロング	r o ng g u
江波戸	エバト	e b a t o
ロミオ	ロミオ	r o m i o
悔いよ	クイヨ	k u i y o
いざと	イザト	i z a t o
サグー	サグー	s a g u long
ロッジ	ロッジ	r o q j i
ロゾー	ロゾー	r o z o long
ロシア	ロシア	r o sh i a
ロガー	ロガー	r o g a long
与兵衛	ヨヘエ	y o h e e
羽二生	ハニウ	h a n i u
御祝い	オイワイ	o i w a i
レーザ	レーザ	r e long z a
スンニ	スンニ	s u ng n i
レマン	レマン	r e m a ng
いこめ	イコメ	i k o m e
見上ぐ	ミアグ	m i a g u
レバー	レバー	r e b a long
憂き目	ウキメ	u k i m e
レッツ	レッツ	r e q ts u
江比間	エヒマ	e h i m a
ほめん	ホメン	h o m e ng
安富祖	アフソ	a f u s o
レゲエ	レゲエ	r e g e e
レオマ	レオマ	r e o m a
スープ	スープ	s u long p u
レイプ	レイプ	r e i p u
憂えん	ウレエン	u r e e ng
名乗っ	ナノッ	n a n o q
ルーペ	ルーペ	r u long p e
もやっ	モヤッ	m o y a q
ルーフ	ルーフ	r u long f u
ルート	ルート	r u long t o
ズック	ズック	z u q k u
ルンバ	ルンバ	r u ng b a
ルンド	ルンド	r u ng d o
ルンゲ	ルンゲ	r u ng g e
おこも	オコモ	o k o m o
サウナ	サウナ	s a u n a
バッハ	バッハ	b a q h a
ルピー	ルピー	r u p i long
バトン	バトン	b a t o ng
ルビオ	ルビオ	r u b i o
相うと	アイウト	a i u t o
サウジ	サウジ	s a u j i
ルノー	ルノー	r u n o long
野夫井	ノフイ	n o f u i
リーベ	リーベ	r i long b e
リーグ	リーグ	r i long g u
怒鳴っ	ドナッ	d o n a q
リンツ	リンツ	r i ng ts u
リリー	リリー	r i r i long
ぼやい	ボヤイ	b o y a i
荏子田	エコダ	e k o d a
飯土井	イイドイ	i i d o i
ぽきゃ	ポキャ	p o k y a
世づい	ヨヅイ	y o z u i
つよい	ツヨイ	ts u y o i
受合っ	ウケアッ	u k e a q
ゴンタ	ゴンタ	g o ng t a
セーヌ	セーヌ	s e long n u
費えん	ツイエン	ts u i e ng
相寄ん	アイヨン	a i y o ng
セーラ	セーラ	s e long r a
リコー	リコー	r i k o long
リグー	リグー	r i g u long
胡散う	ウサンウ	u s a ng u
リアル	リアル	r i a r u
ゼビオ	ゼビオ	z e b i o
荒れよ	アレヨ	a r e y o
ラー油	ラーユ	r a long y u
荒れ地	アレチ	a r e ch i
ラーマ	ラーマ	r a long m a
おじぎ	オジギ	o j i g i
鳴けん	ナケン	n a k e ng
ランプ	ランプ	r a ng p u
大豆生	マメオ	m a m e o
ラミー	ラミー	r a m i long
相成っ	アイナッ	a i n a q
ソキア	ソキア	s o k i a
ソテー	ソテー	s o t e long
網戸瀬	アドセ	a d o s e
ソニー	ソニー	s o n i long
ゴドー	ゴドー	g o d o long
ラウル	ラウル	r a u r u
ゴッホ	ゴッホ	g o q h o
つんと	ツント	ts u ng t o
オマハ	オマハ	o m a h a
づらぅ	ヅラゥ	z u r a u
オムツ	オムツ	o m u ts u
ライト	ライト	r a i t o
オメガ	オメガ	o m e g a
まくっ	マクッ	m a k u q
ヨーコ	ヨーコ	y o long k o
背縫い	セヌイ	s e n u i
ゾアビ	ゾアビ	z o a b i
負わそ	オワソ	o w a s o
ゾンガ	ゾンガ	z o ng g a
ゾンデ	ゾンデ	z o ng d e
てきゃ	テキャ	t e k y a
ユーロ	ユーロ	y u long r o
コーポ	コーポ	k o long p o
バーレ	バーレ	b a long r e
ユーザ	ユーザ	y u long z a
パイプ	パイプ	p a i p u
ユニー	ユニー	y u n i long
おでこ	オデコ	o d e k o
ユトー	ユトー	y u t o long
ヤーベ	ヤーベ	y a long b e
ざらい	ザライ	z a r a i
てめぇ	テメェ	t e m e e
おどけ	オドケ	o d o k e
ヤフー	ヤフー	y a f u long
コンペ	コンペ	k o ng p e
パウロ	パウロ	p a u r o
パエト	パエト	p a e t o
コンブ	コンブ	k o ng b u
ヤダー	ヤダー	y a d a long
モーカ	モーカ	m o long k a
モヘア	モヘア	m o h e a
でかぅ	デカゥ	d e k a u
モッブ	モッブ	m o q b u
受け手	ウケテ	u k e t e
鵜の戸	ウノト	u n o t o
甘えん	アマエン	a m a e ng
メード	メード	m e long d o
メンテ	メンテ	m e ng t e
メンツ	メンツ	m e ng ts u
パタン	パタン	p a t a ng
東洋雄	トヨオ	t o y o o
メラー	メラー	m e r a long
タブー	タブー	t a b u long
さそえ	サソエ	s a s o e
パッド	パッド	p a q d o
メシア	メシア	m e sh i a
大いに	オオイニ	o o i n i
まびい	マビイ	m a b i i
ムーサ	ムーサ	m u long s a
ドーフ	ドーフ	d o long f u
穿ちゃ	ウガチャ	u g a ch a
志美男	シミオ	sh i m i o
ターボ	ターボ	t a long b o
パラオ	パラオ	p a r a o
ターム	ターム	t a long m u
場打て	バウテ	b a u t e
剥ぎゃ	ハギャ	h a g y a
寝起き	ネオキ	n e o k i
パリッ	パリッ	p a r i q
ドリア	ドリア	d o r i a
マンボ	マンボ	m a ng b o
ダニー	ダニー	d a n i long
ダバオ	ダバオ	d a b a o
さえれ	サエレ	s a e r e
とちっ	トチッ	t o ch i q
寝取っ	ネトッ	n e t o q
ダラー	ダラー	d a r a long
なめう	ナメウ	n a m e u
ダーク	ダーク	d a long k u
ダート	ダート	d a long t o
ダーリ	ダーリ	d a long r i
りう子	リウコ	r i u k o
瀬戸井	セトイ	s e t o i
はぐん	ハグン	h a g u ng
彼の世	アノヨ	a n o y o
コナー	コナー	k o n a long
パンク	パンク	p a ng k u
ドスン	ドスン	d o s u ng
押入ん	オシイン	o sh i i ng
マギー	マギー	m a g i long
こらぁ	コラァ	k o r a a
丹生地	ニウジ	n i u j i
入れ毛	イレゲ	i r e g e
ポーズ	ポーズ	p o long z u
ドイル	ドイル	d o i r u
ポリオ	ポリオ	p o r i o
ポツン	ポツン	p o ts u ng
ポエム	ポエム	p o e m u
カヌー	カヌー	k a n u long
ボーロ	ボーロ	b o long r o
ボーメ	ボーメ	b o long m e
パーザ	パーザ	p a long z a
ボレー	ボレー	b o r e long
パース	パース	p a long s u
押えん	オサエン	o s a e ng
ボソッ	ボソッ	b o s o q
睨めん	ネメン	n e m e ng
ボギー	ボギー	b o g i long
ボウル	ボウル	b o u r u
ボイス	ボイス	b o i s u
ボアズ	ボアズ	b o a z u
八尾木	ヨオギ	y o o g i
ホルン	ホルン	h o r u ng
ホラー	ホラー	h o r a long
ゲーテ	ゲーテ	g e long t e
ホセア	ホセア	h o s e a
ペンス	ペンス	p e ng s u
トンビ	トンビ	t o ng b i
ペリア	ペリア	p e r i a
ペニー	ペニー	p e n i long
ベーゼ	ベーゼ	b e long z e
蛇ノ尾	ジャノオ	j a n o o
ゲイツ	ゲイツ	g e i ts u
チータ	チータ	ch i long t a
ベルン	ベルン	b e r u ng
ベビー	ベビー	b e b i long
あふひ	アフヒ	a f u h i
ケープ	ケープ	k e long p u
八重洲	ヤエス	y a e s u
八重田	ヤエダ	y a e d a
ヘレン	ヘレン	h e r e ng
ヘッド	ヘッド	h e q d o
キエフ	キエフ	k i e f u
のめっ	ノメッ	n o m e q
ツリー	ツリー	ts u r i long
ケニア	ケニア	k e n i a
プレー	プレー	p u r e long
行合っ	イキアッ	i k i a q
ケエ子	ケエコ	k e e k o
プラン	プラン	p u r a ng
どおり	ドオリ	d o o r i
ブーケ	ブーケ	b u long k e
ブレア	ブレア	b u r e a
ブルー	ブルー	b u r u long
けちっ	ケチッ	k e ch i q
フーガ	フーガ	f u long g a
テナー	テナー	t e n a long
どよん	ドヨン	d o y o ng
ねつぅ	ネツゥ	n e ts u u
グッチ	グッチ	g u q ch i
グッズ	グッズ	g u q z u
どーぞ	ドーゾ	d o long z o
ど阿呆	ドアホ	d o a h o
グアム	グアム	g u a m u
グアノ	グアノ	g u a n o
ガーナ	ガーナ	g a long n a
クーラ	クーラ	k u long r a
ぐふっ	グフッ	g u f u q
ぐちっ	グチッ	g u ch i q
ガーゼ	ガーゼ	g a long z e
落合う	オチアウ	o ch i a u
美江寺	ミエジ	m i e j i
ゆんべ	ユンベ	y u ng b e
もぐん	モグン	m o g u ng
古安曽	コアソ	k o a s o
デポー	デポー	d e p o long
ヒーブ	ヒーブ	h i long b u
阿久根	アクネ	a k u n e
敢ない	アエナイ	a e n a i
ピーチ	ピーチ	p i long ch i
ピラー	ピラー	p i r a long
ピュレ	ピュレ	p y u r e
ガビー	ガビー	g a b i long
ピチッ	ピチッ	p i ch i q
ピコイ	ピコイ	p i k o i
ピアフ	ピアフ	p i a f u
阿知賀	アチガ	a ch i g a
ビーバ	ビーバ	b i long b a
ビード	ビード	b i long d o
ねびん	ネビン	n e b i ng
阿野田	アノダ	a n o d a
ビオラ	ビオラ	b i o r a
ビッグ	ビッグ	b i q g u
ビジー	ビジー	b i j i long
ビゴー	ビゴー	b i g o long
あざとぅ	アザトゥ	a z a t u
ピジョン	ピジョン	p i j o ng
ピッツァ	ピッツァ	p i q ts a
シチュー	シチュー	sh i ch u long
ああなん	アアナン	a a n a ng
シティー	シティー	sh i t i long
ファジー	ファジー	f a j i long
イージー	イージー	i long j i long
デディエ	デディエ	d e d i e
ウインク	ウインク	u i ng k u
インレー	インレー	i ng r e long
ガウディ	ガウディ	g a u d i
フェザー	フェザー	f e z a long
フェーズ	フェーズ	f e long z u
フォロア	フォロア	f o r o a
ディーニ	ディーニ	d i long n i
ディエゴ	ディエゴ	d i e g o
折れ合う	オレアウ	o r e a u
インター	インター	i ng t a long
シャッポ	シャッポ	sh a q p o
エッセー	エッセー	e q s e long
ウェッズ	ウェッズ	u e q z u
プジョー	プジョー	p u j o long
プッシュ	プッシュ	p u q sh u
ティーサ	ティーサ	t i long s a
ベチャッ	ベチャッ	b e ch a q
ベージュ	ベージュ	b e long j u
ウェーク	ウェーク	u e long k u
トーイン	トーイン	t o long i ng
パーティ	パーティ	p a long t i
チューブ	チューブ	ch u long b u
ウエイト	ウエイト	u e i t o
チャーチ	チャーチ	ch a long ch i
チャンス	チャンス	ch a ng s u
チャルー	チャルー	ch a r u long
言い当て	イイアテ	i i a t e
ポシャっ	ポシャッ	p o sh a q
シェーレ	シェーレ	sh e long r e
シェーマ	シェーマ	sh e long m a
チャオズ	チャオズ	ch a o z u
チャイム	チャイム	ch a i m u
シューズ	シューズ	sh u long z u
チャイナ	チャイナ	ch a i n a
シューバ	シューバ	sh u long b a
ぎっちょ	ギッチョ	g i q ch o
コショー	コショー	k o sh o long
ドゥーマ	ドゥーマ	d u long m a
おりゃん	オリャン	o r y a ng
ごっちゃ	ゴッチャ	g o q ch a
マフィア	マフィア	m a f i a
シェイク	シェイク	sh e i k u
ショーツ	ショーツ	sh o long ts u
ショーワ	ショーワ	sh o long w a
ありえん	アリエン	a r i e ng
うかしゃ	ウカシャ	u k a sh a
カアーッ	カアーッ	k a a long q
イオン化	イオンカ	i o ng k a
イオニア	イオニア	i o n i a
イエロー	イエロー	i e r o long
おめぇー	オメェー	o m e e long
パフェー	パフェー	p a f e long
アーロン	アーロン	a long r o ng
オープン	オープン	o long p u ng
アーマン	アーマン	a long m a ng
アーヘン	アーヘン	a long h e ng
アーニー	アーニー	a long n i long
オーバー	オーバー	o long b a long
パティオ	パティオ	p a t i o
ちょんぎ	チョンギ	ch o ng g i
キューン	キューン	k y u long ng
アーサー	アーサー	a long s a long
アンペア	アンペア	a ng p e a
おねしょ	オネショ	o n e sh o
ウニオン	ウニオン	u n i o ng
オーシー	オーシー	o long sh i long
オーケー	オーケー	o long k e long
ウヒャー	ウヒャー	u h y a long
オーエス	オーエス	o long e s u
オンリー	オンリー	o ng r i long
アンダー	アンダー	a ng d a long
アッパー	アッパー	a q p a long
おっさん	オッサン	o q s a ng
オリオン	オリオン	o r i o ng
ジェコー	ジェコー	j e k o long
ジェノア	ジェノア	j e n o a
ウーメン	ウーメン	u long m e ng
エアカー	エアカー	e a k a long
オマーン	オマーン	o m a long ng
アレアー	アレアー	a r e a long
ソシュー	ソシュー	s o sh u long
オハイオ	オハイオ	o h a i o
おじゃら	オジャラ	o j a r a
ランチョ	ランチョ	r a ng ch o
ランディ	ランディ	r a ng d i
エイジア	エイジア	e i j i a
オッジー	オッジー	o q j i long
ゴーディ	ゴーディ	g o long d i
しゃあな	シャアナ	sh a a n a
アルジェ	アルジェ	a r u j e
相うちゃ	アイウチャ	a i u ch a
ジャガー	ジャガー	j a g a long
レディー	レディー	r e d i long
しょびい	ショビイ	sh o b i i
ジャパン	ジャパン	j a p a ng
エーザイ	エーザイ	e long z a i
ジャミン	ジャミン	j a m i ng
おぎゃー	オギャー	o g y a long
ローツェ	ローツェ	r o long ts e
ジャンル	ジャンル	j a ng r u
ジュエル	ジュエル	j u e r u
っていう	ッテイウ	q t e i u
ふんじゃ	フンジャ	f u ng j a
ちっちゃ	チッチャ	ch i q ch a
サンエー	サンエー	s a ng e long
アセアン	アセアン	a s e a ng
ジュリア	ジュリア	j u r i a
アイガー	アイガー	a i g a long
おいやっ	オイヤッ	o i y a q
ジューキ	ジューキ	j u long k i
クイーン	クイーン	k u i long ng
アイトー	アイトー	a i t o long
アスティ	アスティ	a s u t i
アイビー	アイビー	a i b i long
アパチャ	アパチャ	a p a ch a
アサイン	アサイン	a s a i ng
アジアン	アジアン	a j i a ng
おいちゃん	オイチャン	o i ch a ng
エンチョー	エンチョー	e ng ch o long
オーシャン	オーシャン	o long sh a ng
オーディオ	オーディオ	o long d i o
チェチェン	チェチェン	ch e ch e ng
シャンツェ	シャンツェ	sh a ng ts e
ティシュー	ティシュー	t i sh u long
ティッシュ	ティッシュ	t i q sh u
ウェッシェ	ウェッシェ	u e q sh e
インディー	インディー	i ng d i long
ウインディ	ウインディ	u i ng d i
エッシャー	エッシャー	e q sh a long
穣	ミノル	m i n o r u
皐	サツキ	s a ts u k i
叺	カマス	k a m a s u
筵	ムシロ	m u sh i r o
甲	カブト	k a b u t o
捧	ササゲ	s a s a g e
卜	ウラナイ	u r a n a i
祠	ホコラ	h o k o r a
妾	ソバメ	s o b a m e
湊	ミナト	m i n a t o
捗	ハカド	h a k a d o
皷	ツヅミ	ts u z u m i
茵	シトネ	sh i t o n e
紲	キズナ	k i z u n a
盈	ミツル	m i ts u r u
桂	カツラ	k a ts u r a
幽	カソケ	k a s o k e
欅	ケヤキ	k e y a k i
結	ムスブ	m u s u b u
醜	ミニク	m i n i k u
醪	モロミ	m o r o m i
佛	ホトケ	h o t o k e
巷	チマタ	ch i m a t a
鮃	ヒラメ	h i r a m e
櫓	ヤグラ	y a g u r a
鮖	カジカ	k a j i k a
檜	ヒノキ	h i n o k i
佃	ツクダ	ts u k u d a
貪	ムサボ	m u s a b o
鯀	クジラ	k u j i r a
楔	クサビ	k u s a b i
匣	クシゲ	k u sh i g e
柏	カシワ	k a sh i w a
蓍	メドギ	m e d o g i
鯣	スルメ	s u r u m e
迪	ススム	s u s u m u
鯰	ナマズ	n a m a z u
細	コマカ	k o m a k a
蕾	ツボミ	ts u b o m i
貢	ミツギ	m i ts u g i
盲	メクラ	m e k u r a
誂	アツラエ	a ts u r a e
俄	ニワカ	n i w a k a
導	シルベ	sh i r u b e
鱸	スズキ	s u z u k i
誉	ホマレ	h o m a r e
保	タモツ	t a m o ts u
薪	タキギ	t a k i g i
半	ナカバ	n a k a b a
伜	セガレ	s e g a r e
了	サトル	s a t o r u
髻	タブサ	t a b u s a
妃	キサキ	k i s a k i
悠	ハルカ	h a r u k a
腓	コブラ	k o b u r a
鼠	ネズミ	n e z u m i
誠	マコト	m a k o t o
滋	シゲシ	sh i g e sh i
童	ワラベ	w a r a b e
髢	カモジ	k a m o j i
厨	クリヤ	k u r i y a
樸	シラキ	sh i r a k i
鳳	オオトリ	o o t o r i
樵	キコリ	k i k o r i
簓	ササラ	s a s a r a
胖	ユタカ	y u t a k a
薺	ナズナ	n a z u n a
燕	ツバメ	ts u b a m e
轡	クツワ	k u ts u w a
倭	ヤマト	y a m a t o
左	ヒダリ	h i d a r i
偏	カタヨ	k a t a y o
嚔	クサメ	k u s a m e
憤	イキドオ	i k i d o o
渚	ナギサ	n a g i s a
鴎	カモメ	k a m o m e
眇	スガメ	s u g a m e
籬	マガキ	m a g a k i
誼	ヨシミ	y o sh i m i
輪	ハナワ	h a n a w a
鼈	スッポン	s u q p o ng
忠	キヨシ	k i y o sh i
竈	カマド	k a m a d o
梺	フモト	f u m o t o
釛	コガネ	k o g a n e
刀	カタナ	k a t a n a
鴿	ドバト	d o b a t o
賂	マイナイ	m a i n a i
瓢	ヒサゴ	h i s a g o
寳	タカラ	t a k a r a
諍	イサカイ	i s a k a i
襷	タスキ	t a s u k i
襲	カサネ	k a s a n e
椚	クヌギ	k u n u g i
擒	トリコ	t o r i k o
諭	サトシ	s a t o sh i
艀	ハシケ	h a sh i k e
軛	クビキ	k u b i k i
鶲	ヒタキ	h i t a k i
琢	ミガク	m i g a k u
裸	ハダカ	h a d a k a
畷	ナワテ	n a w a t e
拙	ツタナ	ts u t a n a
拘	カカワ	k a k a w a
究	キワム	k i w a m u
顰	ヒソミ	h i s o m i
匏	フクベ	f u k u b e
禊	ミソギ	m i s o g i
擽	クスグ	k u s u g u
涙	ナミダ	n a m i d a
扉	トビラ	t o b i r a
柳	ヤナギ	y a n a g i
癩	カッタイ	k a q t a i
標	シメギ	sh i m e g i
眩	マバユ	m a b a y u
縮	チヂミ	ch i j i m i
眼	マナコ	m a n a k o
帷	トバリ	t o b a r i
孟	タケシ	t a k e sh i
鏡	カガミ	k a g a m i
袴	ハカマ	h a k a m a
蹇	アシナエ	a sh i n a e
骸	ムクロ	m u k u r o
蹄	ヒズメ	h i z u m e
踵	カカト	k a k a t o
惠	メグミ	m e g u m i
蔀	シトミ	sh i t o m i
疥	ハタケ	h a t a k e
睫	マツゲ	m a ts u g e
菘	スズナ	s u z u n a
瞬	マドカ	m a d o k a
瞼	マブタ	m a b u t a
袂	タモト	t a m o t o
麋	オウシカ	o u sh i k a
崩	クズレ	k u z u r e
狼	オオカミ	o o k a m i
狢	ムジナ	m u j i n a
讓	ユズル	y u z u r u
榊	サカキ	s a k a k i
狐	キツネ	k i ts u n e
罵	ノノシ	n o n o sh i
葎	ムグラ	m u g u r a
密	ヒソカ	h i s o k a
膠	ニカワ	n i k a w a
羆	ヒグマ	h i g u m a
羊	ヒツジ	h i ts u j i
萬	ヨロズ	y o r o z u
屯	タムロ	t a m u r o
秣	マグサ	m a g u s a
愈	イヨイヨ	i y o i y o
蛟	ミズチ	m i z u ch i
響	ヒビキ	h i b i k i
古	イニシエ	i n i sh i e
粲	ツバラ	ts u b a r a
蛻	モヌケ	m o n u k e
粽	チマキ	ch i m a k i
蝮	マムシ	m a m u sh i
徴	シルシ	sh i r u sh i
劔	ツルギ	ts u r u g i
文名	ブンメイ	b u ng m e i
神慮	シンリョ	sh i ng r y o
貴ん	タットン	t a q t o ng
神幸	シンコウ	sh i ng k o u
神房	カンボウ	k a ng b o u
神帆	カミホ	k a m i h o
文台	ブンダイ	b u ng d a i
変針	ヘンシン	h e ng sh i ng
山霊	サンレイ	s a ng r e i
貴代	タカヨ	t a k a y o
神峰	カミネ	k a m i n e
神屋	カギヤ	k a g i y a
変遷	ヘンセン	h e ng s e ng
夏場	ナツバ	n a ts u b a
変造	ヘンゾウ	h e ng z o u
下須	シモス	sh i m o s u
神木	カミキ	k a m i k i
文室	フムロ	f u m u r o
夏実	ナツミ	n a ts u m i
山鹿	ヤマガ	y a m a g a
変通	ヘンツウ	h e ng ts u u
山門	サンモン	s a ng m o ng
貰わ	モラワ	m o r a w a
神変	シンペン	sh i ng p e ng
神域	シンイキ	sh i ng i k i
夏月	カヅキ	k a z u k i
岐宿	キシク	k i sh i k u
貴島	キジマ	k i j i m a
変災	ヘンサイ	h e ng s a i
貯蓄	チョチク	ch o ch i k u
貯留	チョリュウ	ch o r y u u
文中	ブンチュウ	b u ng ch u u
神水	カンズイ	k a ng z u i
神南	ジンナン	j i ng n a ng
貴本	キモト	k i m o t o
山部	ヤマブ	y a m a b u
貴様	キサマ	k i s a m a
文一	ブンイチ	b u ng i ch i
神渕	カブチ	k a b u ch i
敷設	フセツ	f u s e ts u
神内	コウナイ	k o u n a i
神爪	カヅメ	k a z u m e
敷田	シキダ	sh i k i d a
神佑	シンユウ	sh i ng y u u
検問	ケンモン	k e ng m o ng
責苦	セメク	s e m e k u
神代	カクミ	k a k u m i
敷根	シキネ	sh i k i n e
検品	ケンピン	k e ng p i ng
検収	ケンシュウ	k e ng sh u u
検分	ケンブン	k e ng b u ng
変形	ヘンケイ	h e ng k e i
山貴	ヤマキ	y a m a k i
変圧	ヘンアツ	h e ng a ts u
敷布	シキフ	sh i k i f u
文樹	フミキ	f u m i k i
文民	ブンミン	b u ng m i ng
祝賀	シュクガ	sh u k u g a
山蘭	サンラン	s a ng r a ng
神船	シブネ	sh i b u n e
山葵	ワサビ	w a s a b i
神西	ジンザイ	j i ng z a i
山菜	サンサイ	s a ng s a i
変乱	ヘンラン	h e ng r a ng
祝田	イワイタ	i w a i t a
岡前	オカゼン	o k a z e ng
検疫	ケンエキ	k e ng e k i
貫通	カンツウ	k a ng ts u u
貫見	ヌクミ	n u k u m i
下里	サガリ	s a g a r i
祝戸	イワイド	i w a i d o
貫田	ヌキタ	n u k i t a
貫津	ヌクヅ	n u k u z u
貫戸	ヌクド	n u k u d o
夏足	ナタセ	n a t a s e
不仲	フナカ	f u n a k a
貫一	カンイチ	k a ng i ch i
下達	カタツ	k a t a ts u
不休	フキュウ	f u k y u u
文献	ブンケン	b u ng k e ng
不出	フシュツ	f u sh u ts u
祝そ	シュクソ	sh u k u s o
貶さ	ケナサ	k e n a s a
貶し	ケナシ	k e n a sh i
検閲	ケンエツ	k e ng e ts u
文田	フミタ	f u m i t a
神長	カナガ	k a n a g a
貪婪	ドンラン	d o ng r a ng
下足	ゲソク	g e s o k u
文盲	モンモウ	m o ng m o u
祖述	ソジュツ	s o j u ts u
文箱	フバコ	f u b a k o
不吹	フブキ	f u b u k i
不埒	フラチ	f u r a ch i
不学	フガク	f u g a k u
敵営	テキエイ	t e k i e i
敵そ	テキソ	t e k i s o
販推	ハンスイ	h a ng s u i
神髄	シンズイ	sh i ng z u i
整頓	セイトン	s e i t o ng
祖浜	ソハマ	s o h a m a
祟れ	タタレ	t a t a r e
貧道	ヒンドウ	h i ng d o u
整然	セイゼン	s e i z e ng
整数	セイスウ	s e i s u u
壺屋	ツボヤ	ts u b o y a
祖業	ソギョウ	s o g y o u
岡新	オカシン	o k a sh i ng
椿山	チンザン	ch i ng z a ng
祖式	ソジキ	s o j i k i
祥一	ショウイチ	sh o u i ch i
岡本	オカホン	o k a h o ng
整一	セイイチ	s e i i ch i
不服	フフク	f u f u k u
祥代	サチヨ	s a ch i y o
椿東	チントウ	ch i ng t o u
不様	ブザマ	b u z a m a
山畑	ヤバタ	y a b a t a
文観	モンカン	m o ng k a ng
文言	モンゴン	m o ng g o ng
貧寒	ヒンカン	h i ng k a ng
岡添	オカゾエ	o k a z o e
貧乏	ビンボウ	b i ng b o u
祖国	ソコク	s o k o k u
不漁	フリョウ	f u r y o u
敲こ	タタコ	t a t a k o
不為	フタメ	f u t a m e
貢献	コウケン	k o u k e ng
貢川	クガワ	k u g a w a
下落	ゲラク	g e r a k u
数須	カズス	k a z u s u
祥瑞	ショウズイ	sh o u z u i
数行	スウコウ	s u u k o u
祐造	ユウゾウ	y u u z o u
数牛	カソシ	k a s o sh i
買上	カイアゲ	k a i a g e
数屋	カズヤ	k a z u y a
楓溪	フウケイ	f u u k e i
売春	バイシュン	b a i sh u ng
夕映	ユウバエ	y u u b a e
祐市	ユウイチ	y u u i ch i
下茶	シモチャ	sh i m o ch a
椛木	カバキ	k a b a k i
祭ろ	マツロ	m a ts u r o
岡郷	オカゴウ	o k a g o u
売市	ウルイチ	u r u i ch i
売声	ウリゴエ	u r i g o e
与し	クミシ	k u m i sh i
夕汐	ユウシオ	y u u sh i o
売品	バイヒン	b a i h i ng
与す	クミス	k u m i s u
売名	バイメイ	b a i m e i
数回	スウカイ	s u u k a i
数件	スウケン	s u u k e ng
楚川	ソガワ	s o g a w a
祭典	サイテン	s a i t e ng
岩三	イワゾウ	i w a z o u
与八	ヨハチ	y o h a ch i
与助	ヨスケ	y o s u k e
財経	ザイケイ	z a i k e i
与北	ヨギタ	y o g i t a
財用	ザイヨウ	z a i y o u
財産	ザイサン	z a i s a ng
与原	ヨハラ	y o h a r a
財源	ザイゲン	z a i g e ng
与口	ヨグチ	y o g u ch i
与奪	ヨダツ	y o d a ts u
与床	ヨドコ	y o d o k o
祭神	サイジン	s a i j i ng
与本	ヨモト	y o m o t o
与縄	ヨナワ	y o n a w a
敬譲	ケイジョウ	k e i j o u
貸手	カシテ	k a sh i t e
丑蔵	ウシゾウ	u sh i z o u
楠乃	クスノ	k u s u n o
下級	カキュウ	k a k y u u
世俗	セゾク	s e z o k u
社領	シャリョウ	sh a r y o u
社辺	コソベ	k o s o b e
社説	シャセツ	sh a s e ts u
岩内	イワウチ	i w a u ch i
世持	ヨモチ	y o m o ch i
貼用	チョウヨウ	ch o u y o u
社畜	シャチク	sh a ch i k u
楠瀬	クスセ	k u s u s e
楠田	クスダ	k u s u d a
貿易	ボウエキ	b o u e k i
社歴	シャレキ	sh a r e k i
禁圧	キンアツ	k i ng a ts u
禁城	キンジョウ	k i ng j o u
禁廷	キンテイ	k i ng t e i
禁断	キンダン	k i ng d a ng
敬人	ヨシト	y o sh i t o
禁漁	キンギョ	k i ng g y o
社日	シャニチ	sh a n i ch i
賀数	カカズ	k a k a z u
社宅	シャタク	sh a t a k u
世継	ヨツギ	y o ts u g i
世評	セヒョウ	s e h y o u
賃金	チンギン	ch i ng g i ng
賃銭	チンセン	ch i ng s e ng
楠葉	クズハ	k u z u h a
敬っ	ウヤマッ	u y a m a q
丞相	ジョウショウ	j o u sh o u
楡生	ニリョウ	n i r y o u
楢下	ナラゲ	n a r a g e
両個	リャンコ	r y a ng k o
両出	リョウデ	r y o u d e
楢津	ナラツ	n a r a ts u
夕顔	ユウガオ	y u u g a o
両夫	リョウフ	r y o u f u
両子	フタゴ	f u t a g o
礼金	レイキン	r e i k i ng
夕飯	ユウハン	y u u h a ng
禅堂	ゼンドウ	z e ng d o u
礼遇	レイグウ	r e i g u u
資質	シシツ	sh i sh i ts u
外さ	ハズサ	h a z u s a
外し	ハズシ	h a z u sh i
楢葉	ナラハ	n a r a h a
禅林	ゼンリン	z e ng r i ng
両所	リョウショ	r y o u sh o
岩岡	イワオカ	i w a o k a
礼装	レイソウ	r e i s o u
両機	リョウキ	r y o u k i
岩崎	イワサイ	i w a s a i
賊す	ゾクス	z o k u s u
両派	リョウハ	r y o u h a
賊徒	ゾクト	z o k u t o
禎瑞	テイズイ	t e i z u i
業主	ギョウシュ	g y o u sh u
福与	フクヨ	f u k u y o
斗掻	トカキ	t o k a k i
礼拝	ライハイ	r a i h a i
貞美	サダミ	s a d a m i
敦煌	トンコウ	t o ng k o u
福二	フクジ	f u k u j i
両院	リョウイン	r y o u i ng
外れ	ハズレ	h a z u r e
並び	ナラビ	n a r a b i
賎民	センミン	s e ng m i ng
礼厳	レイゴン	r e i g o ng
下着	シタギ	sh i t a g i
貞祐	テイユウ	t e i y u u
散銭	サンセン	s a ng s e ng
示野	シメノ	sh i m e n o
貞田	サダタ	s a d a t a
示達	ジタツ	j i t a ts u
外乱	ガイラン	g a i r a ng
賓礼	ヒンレイ	h i ng r e i
外二	ソトジ	s o t o j i
山瀬	ヤマセ	y a m a s e
散逸	サンイツ	s a ng i ts u
椎池	シイイケ	sh i i i k e
